currency_to,timestamp,currency_from,USD_to_currency_rate,USD_from_currency_rate
USD,2023-04-27T00:00:00Z,EGP,30.9518469196,30.9518469196
USD,2023-04-27T00:00:00Z,GHS,11.8996893483,11.8996893483
USD,2023-04-27T00:00:00Z,KES,135.7901238305,135.7901238305
USD,2023-04-27T00:00:00Z,MAD,10.0585888512,10.0585888512
USD,2023-04-27T00:00:00Z,NGN,463.4917770514,463.4917770514
USD,2023-04-27T00:00:00Z,UGX,3757.757152768,3757.757152768
USD,2023-04-27T00:00:00Z,XOF,593.8863175011,593.8863175011
USD,2023-04-27T00:00:00Z,EGP,30.9518469196,30.9518469196
USD,2023-04-27T00:00:00Z,GHS,11.8996893483,11.8996893483
USD,2023-04-27T00:00:00Z,KES,135.7901238305,135.7901238305
USD,2023-04-27T00:00:00Z,MAD,10.0585888512,10.0585888512
USD,2023-04-27T00:00:00Z,NGN,463.4917770514,463.4917770514
USD,2023-04-27T00:00:00Z,UGX,3757.757152768,3757.757152768
USD,2023-04-27T00:00:00Z,XOF,593.8863175011,593.8863175011
USD,2023-04-27T00:00:00Z,EGP,30.9518469196,30.9518469196
USD,2023-04-27T00:00:00Z,GHS,11.8996893483,11.8996893483
USD,2023-04-27T00:00:00Z,KES,135.7901238305,135.7901238305
USD,2023-04-27T00:00:00Z,MAD,10.0585888512,10.0585888512
USD,2023-04-27T00:00:00Z,NGN,463.4917770514,463.4917770514
USD,2023-04-27T00:00:00Z,UGX,3757.757152768,3757.757152768
USD,2023-04-27T00:00:00Z,XOF,593.8863175011,593.8863175011
